station_num, WBAN , YEARMO,   TEMP,  ,   DEWPOINT,  ,  SEA_LEVEL_PRESSURE  ,  ,  STATION_PRESSURE  ,  , VISI,  ,  WINDSPEE,  , MAXSPEE,  MAXGUST,   MAXTEMP  ,  MINTEMP  ,PRCP  ,SNOWDEPTH , FRSHTT,
numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric,
720472,99999, 20180402,   27.3,24,   11.8,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.8,24,  15.0,  22.9,   33.8,  21.2, 0.00,999.9, 000000,
720472,99999, 20180403,   30.7,24,   14.5,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.2,24,   9.9,  15.0,   42.8,  21.2, 0.00,999.9, 000000,
720472,99999, 20180404,   31.9,24,   30.0,24, 9999.9, 0, 9999.9, 0,   6.2,24,   4.7,24,  12.0,  20.0,   35.6,  30.2,99.99 ,999.9, 011000,
720472,99999, 20180405,   19.9,24,    9.3,24, 9999.9, 0, 9999.9, 0,   6.3,24,  13.7,24,  25.1,  36.9,   32.0,  12.2,99.99 ,999.9, 001000,
720472,99999, 20180406,   20.9,24,    7.3,24, 9999.9, 0, 9999.9, 0,   8.9,24,   6.2,24,  14.0,  26.0,   32.0,  12.2,99.99 ,999.9, 001000,
720472,99999, 20180407,   28.8,24,   20.5,24, 9999.9, 0, 9999.9, 0,   7.9,24,   7.7,24,  17.1,  27.0,   32.0,  26.6,99.99 ,999.9, 001000,
720472,99999, 20180408,   24.2,24,    9.2,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.0,24,  15.0,  20.0,   32.0,  14.0, 0.00,999.9, 000000,
720472,99999, 20180409,   19.8,24,    9.1,24, 9999.9, 0, 9999.9, 0,   8.7,24,   9.5,24,  19.0,  26.0,   26.6,  12.2,99.99 ,999.9, 001000,
720472,99999, 20180410,   22.5,24,   12.6,24, 9999.9, 0, 9999.9, 0,   9.2,24,   2.6,24,   8.0, 999.9,   33.8,   8.6,99.99 ,999.9, 001000,
720472,99999, 20180411,   25.8,14,   19.0,14, 9999.9, 0, 9999.9, 0,   6.0,14,   1.0,14,   5.1, 999.9,   37.4,  15.8, 0.00,999.9, 100000,
720472,99999, 20180412,   34.5,24,   24.3,24, 9999.9, 0, 9999.9, 0,   8.9,24,   2.9,24,   9.9,  15.0,   44.6,  28.4,99.99 ,999.9, 011000,
720472,99999, 20180413,   35.7,24,   32.4,24, 9999.9, 0, 9999.9, 0,   7.2,24,   5.4,24,  15.0,  22.0,   41.0,  32.0,99.99 ,999.9, 011000,
720472,99999, 20180414,   31.8,24,   22.2,24, 9999.9, 0, 9999.9, 0,   8.4,24,   5.5,24,  12.0,  17.1,   37.4,  23.0,99.99 ,999.9, 011000,
720472,99999, 20180415,   24.8,24,    4.2,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.3,24,   9.9,  15.0,   30.2,  21.2,99.99 ,999.9, 001000,
720472,99999, 20180416,   28.2,24,   16.9,24, 9999.9, 0, 9999.9, 0,   7.2,24,   9.3,24,  25.1,  34.0,   32.0,  24.8,99.99 ,999.9, 001000,
720472,99999, 20180417,   33.4,24,   31.9,24, 9999.9, 0, 9999.9, 0,   2.5,24,   7.2,24,  20.0,  34.0,   35.6,  32.0,99.99 ,999.9, 111000,
720472,99999, 20180418,   30.8,24,   28.1,24, 9999.9, 0, 9999.9, 0,   7.3,24,   7.5,24,  14.0,  21.0,   35.6,  28.4,99.99 ,999.9, 001000,
720472,99999, 20180419,   33.6,24,   29.1,24, 9999.9, 0, 9999.9, 0,   8.8,24,   5.5,24,  11.1,  15.9,   37.4,  32.0,99.99 ,999.9, 001000,
720472,99999, 20180420,   32.8,24,   29.2,24, 9999.9, 0, 9999.9, 0,   7.2,24,   7.4,24,  19.0,  24.1,   37.4,  30.2,99.99 ,999.9, 001000,
720472,99999, 20180421,   35.2,24,   25.2,24, 9999.9, 0, 9999.9, 0,   9.9,24,  10.4,24,  17.1,  25.1,   41.0,  30.2,99.99 ,999.9, 001000,
720472,99999, 20180422,   36.3,24,   17.7,24, 9999.9, 0, 9999.9, 0,  10.0,24,   4.8,24,  13.0,  22.9,   46.4,  26.6, 0.00,999.9, 000000,
720472,99999, 20180423,   40.2,24,   16.0,24, 9999.9, 0, 9999.9, 0,  10.0,24,   4.2,24,   8.9,  15.0,   55.4,  23.0, 0.00,999.9, 000000,
720472,99999, 20180424,   48.4,24,   16.9,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.3,24,   9.9,  17.1,   66.2,  32.0, 0.00,999.9, 000000,
720472,99999, 20180425,   47.0,24,   34.1,24, 9999.9, 0, 9999.9, 0,   9.1,24,   2.3,24,   7.0, 999.9,   55.4,  37.4,99.99 ,999.9, 010000,
720472,99999, 20180426,   45.4,24,   43.8,24, 9999.9, 0, 9999.9, 0,   6.7,24,   4.1,24,  13.0,  22.9,   50.0,  42.8,99.99 ,999.9, 110000,
720472,99999, 20180427,   45.6,24,   39.7,24, 9999.9, 0, 9999.9, 0,   9.9,24,   3.9,24,  11.1,  15.0,   55.4,  41.0,99.99 ,999.9, 010000,
720472,99999, 20180428,   46.0,24,   40.6,24, 9999.9, 0, 9999.9, 0,   7.7,24,   2.2,24,   7.0, 999.9,   59.0,  41.0,99.99 ,999.9, 110000,
720472,99999, 20180429,   44.1,24,   39.9,24, 9999.9, 0, 9999.9, 0,   9.1,24,   1.9,24,   7.0, 999.9,   51.8,  41.0,99.99 ,999.9, 010000,
720472,99999, 20180430,   42.9,24,   37.5,24, 9999.9, 0, 9999.9, 0,   9.2,24,   4.2,24,   9.9,  20.0,   51.8,  37.4,99.99 ,999.9, 010010,
720472,99999, 20180501,   42.9,24,   37.3,24, 9999.9, 0, 9999.9, 0,   8.3,24,   3.9,24,  12.0,  15.0,   53.6,  35.6,99.99 ,999.9, 110000,
720472,99999, 20180502,   58.5,24,   39.7,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.5,24,  18.1,  29.9,   78.8,  42.8,99.99 ,999.9, 010000,
720472,99999, 20180503,   58.2,24,   51.8,24, 9999.9, 0, 9999.9, 0,   8.0,24,   4.1,24,  14.0,  22.9,   64.4,  53.6,99.99 ,999.9, 010000,
720472,99999, 20180504,   54.7,24,   52.2,24, 9999.9, 0, 9999.9, 0,   7.9,24,   3.2,24,   8.0,  18.1,   60.8,  50.0,99.99 ,999.9, 110000,
720472,99999, 20180505,   50.8,24,   39.8,24, 9999.9, 0, 9999.9, 0,   8.8,24,  11.9,24,  22.0,  41.0,   60.8,  41.0,99.99 ,999.9, 011010,
720472,99999, 20180506,   53.7,24,   36.6,24, 9999.9, 0, 9999.9, 0,  10.0,24,   2.1,24,   8.0, 999.9,   64.4,  44.6, 0.00,999.9, 000000,
720472,99999, 20180507,   51.2,24,   29.8,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.0,24,   9.9,  15.9,   59.0,  41.0, 0.00,999.9, 000000,
720472,99999, 20180508,   49.5,24,   27.5,24, 9999.9, 0, 9999.9, 0,  10.0,24,   4.1,24,  12.0,  19.0,   69.8,  30.2, 0.00,999.9, 000000,
720472,99999, 20180509,   58.0,23,   32.3,23, 9999.9, 0, 9999.9, 0,  10.0,23,   2.6,23,  11.1,  15.0,   73.4,  37.4, 0.00,999.9, 000000,
720472,99999, 20180510,   57.6,24,   29.9,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.5,24,  12.0,  17.1,   69.8,  44.6, 0.00,999.9, 000000,
720472,99999, 20180511,   45.4,24,   30.8,24, 9999.9, 0, 9999.9, 0,  10.0,24,  12.1,24,  18.1,  28.9,   60.8,  33.8,99.99 ,999.9, 010000,
720472,99999, 20180512,   42.3,24,   21.4,24, 9999.9, 0, 9999.9, 0,  10.0,24,   4.7,24,   9.9,  19.0,   59.0,  28.4, 0.00,999.9, 000000,
720472,99999, 20180513,   48.1,24,   23.5,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.6,24,   8.9,  15.0,   64.4,  30.2, 0.00,999.9, 000000,
720472,99999, 20180514,   54.6,24,   33.9,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.5,24,  17.1,  25.1,   73.4,  37.4, 0.00,999.9, 000000,
720472,99999, 20180515,   55.7,21,   44.9,21, 9999.9, 0, 9999.9, 0,   9.4,21,   2.2,21,   7.0, 999.9,   62.6,  50.0,99.99 ,999.9, 010000,
720472,99999, 20180516,   48.6,24,   35.5,24, 9999.9, 0, 9999.9, 0,  10.0,24,   4.6,24,  11.1,  20.0,   62.6,  33.8, 0.00,999.9, 000000,
720472,99999, 20180517,   53.3,24,   41.8,24, 9999.9, 0, 9999.9, 0,  10.0,24,   4.6,24,  15.0,  20.0,   64.4,  44.6, 0.00,999.9, 000000,
720472,99999, 20180518,   46.5,24,   23.4,24, 9999.9, 0, 9999.9, 0,  10.0,24,   4.6,24,   9.9, 999.9,   60.8,  33.8, 0.00,999.9, 000000,
720472,99999, 20180519,   50.3,24,   27.6,24, 9999.9, 0, 9999.9, 0,   9.8,24,   3.1,24,   8.9,  17.1,   60.8,  41.0,99.99 ,999.9, 010000,
720472,99999, 20180520,   51.7,24,   47.4,24, 9999.9, 0, 9999.9, 0,   9.4,24,   6.0,24,  15.9,  22.0,   62.6,  39.2,99.99 ,999.9, 010000,
720472,99999, 20180521,   55.0,24,   35.3,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.8,24,  24.1,  29.9,   68.0,  41.0, 0.00,999.9, 000000,
720472,99999, 20180522,   55.4,24,   40.7,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.5,24,   8.9,  15.9,   64.4,  42.8,99.99 ,999.9, 010000,
720472,99999, 20180523,   55.5,24,   47.2,24, 9999.9, 0, 9999.9, 0,   9.2,24,   4.8,24,  17.1,  22.9,   64.4,  50.0,99.99 ,999.9, 010000,
720472,99999, 20180524,   51.5,23,   33.6,23, 9999.9, 0, 9999.9, 0,  10.0,23,   4.8,23,  11.1,  17.1,   62.6,  41.0, 0.00,999.9, 000000,
720472,99999, 20180525,   61.9,24,   41.3,24, 9999.9, 0, 9999.9, 0,  10.0,24,   7.4,24,  17.1,  26.0,   78.8,  46.4, 0.00,999.9, 000000,
720472,99999, 20180526,   64.2,24,   52.9,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.2,24,  14.0,  21.0,   68.0,  59.0,99.99 ,999.9, 010000,
720472,99999, 20180527,   52.7,24,   35.8,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.0,24,  11.1,  20.0,   60.8,  42.8, 0.00,999.9, 000000,
720472,99999, 20180528,   52.2,24,   35.1,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.4,24,   7.0, 999.9,   68.0,  44.6, 0.00,999.9, 000000,
720472,99999, 20180529,   64.5,24,   45.5,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.9,24,  15.9,  21.0,   75.2,  55.4, 0.00,999.9, 000000,
720472,99999, 20180530,   59.4,24,   34.3,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.8,24,   8.0, 999.9,   73.4,  42.8, 0.00,999.9, 000000,
